Facebook,"Sentiments      Average pros score: 2.3542976939203353, Average cons score: 1.9832285115303983, Average summary score: 2.1153039832285114"
Accenture,"Sentiments      Average pros score: 2.6342105263157896, Average cons score: 1.731578947368421, Average summary score: 2.4236842105263157"
Standard Chartered,"Sentiments      Average pros score: 2.268532526475038, Average cons score: 2.0151285930408473, Average summary score: 2.151285930408472"
Paypal,"Sentiments      Average pros score: 2.39453125, Average cons score: 1.98046875, Average summary score: 2.216796875"
GovTech,"Sentiments      Average pros score: 2.230769230769231, Average cons score: 2.1538461538461537, Average summary score: 2.076923076923077"
DBS-Bank,"Sentiments      Average pros score: 2.2982456140350878, Average cons score: 1.8859649122807018, Average summary score: 2.1008771929824563"
HSBC-Bank,"Sentiments      Average pros score: 2.3496503496503496, Average cons score: 2.0, Average summary score: 2.132867132867133"
NCS,"Sentiments      Average pros score: 2.1666666666666665, Average cons score: 1.9411764705882353, Average summary score: 2.0686274509803924"
J-P-Morgan,"Sentiments      Average pros score: 2.076252723311547, Average cons score: 2.093681917211329, Average summary score: 2.0130718954248366"
Tesla,"Sentiments      Average pros score: 2.3544600938967135, Average cons score: 1.9295774647887325, Average summary score: 2.1561032863849765"
Microsoft,"Sentiments      Average pros score: 2.2, Average cons score: 2.2, Average summary score: 2.05"
Dell Technologies,"Sentiments      Average pros score: 2.672043010752688, Average cons score: 1.7526881720430108, Average summary score: 2.588709677419355"
Google,"Sentiments      Average pros score: 2.4114071996259936, Average cons score: 2.013557737260402, Average summary score: 2.29312762973352"
Lenovo,"Sentiments      Average pros score: 2.4074074074074074, Average cons score: 2.0185185185185186, Average summary score: 2.037037037037037"